mode,window,RMSE,MAE,MAPE,index,model_type,model_id
dual,5,7.221242762682644e-05,2.829948070861247e-05,0.1355899908739618,NDX,Dual_GARCH_LSTM,NDX_Dual_GARCH_LSTM
dual,11,8.239042216971123e-05,3.073947461294658e-05,0.1324678620498399,NDX,Dual_GARCH_LSTM,NDX_Dual_GARCH_LSTM
dual,22,7.847745949632483e-05,2.902660888719697e-05,0.1256312440053867,NDX,Dual_GARCH_LSTM,NDX_Dual_GARCH_LSTM
dual,5,7.904646252781218e-05,2.3317140240949032e-05,0.1609491379337881,SPX,Dual_GARCH_LSTM,SPX_Dual_GARCH_LSTM
dual,11,9.178548927526706e-05,2.568510976158404e-05,0.1716350705861445,SPX,Dual_GARCH_LSTM,SPX_Dual_GARCH_LSTM
dual,22,8.585842991702867e-05,2.443345069715229e-05,0.1643767435793054,SPX,Dual_GARCH_LSTM,SPX_Dual_GARCH_LSTM
,5,9.736507093839722e-05,3.378121990757686e-05,0.1562030758244529,NDX,LSTM_Baseline,NDX_LSTM_Baseline
,11,7.828990735268491e-05,2.8674947532211893e-05,0.1536862725962288,NDX,LSTM_Baseline,NDX_LSTM_Baseline
,22,7.747199489066897e-05,3.0249244748773817e-05,0.1734380215862543,NDX,LSTM_Baseline,NDX_LSTM_Baseline
triple,5,8.281281083558585e-05,2.4296373677565124e-05,0.1630952329592519,SPX,Triple_GARCH_LSTM,SPX_Triple_GARCH_LSTM
triple,11,9.129322757992384e-05,2.594153664502366e-05,0.1701691325365327,SPX,Triple_GARCH_LSTM,SPX_Triple_GARCH_LSTM
triple,22,8.837162040919533e-05,2.4867580642642604e-05,0.172530768473398,SPX,Triple_GARCH_LSTM,SPX_Triple_GARCH_LSTM
single,5,6.99474735256898e-05,2.1422272495485367e-05,0.1514880722757481,SPX,Single_GARCH_LSTM,SPX_Single_GARCH_LSTM
single,11,7.859908523990305e-05,2.3905119061022823e-05,0.17503778339902,SPX,Single_GARCH_LSTM,SPX_Single_GARCH_LSTM
single,22,7.960702566278879e-05,2.345594714385953e-05,0.1579373059341178,SPX,Single_GARCH_LSTM,SPX_Single_GARCH_LSTM
triple,5,8.315871309679825e-05,3.0303802437971143e-05,0.1416259751683488,NDX,Triple_GARCH_LSTM,NDX_Triple_GARCH_LSTM
triple,11,8.977087915345227e-05,3.176273736887016e-05,0.1478217515711752,NDX,Triple_GARCH_LSTM,NDX_Triple_GARCH_LSTM
triple,22,8.776126400451102e-05,3.137276876560269e-05,0.1418493927472761,NDX,Triple_GARCH_LSTM,NDX_Triple_GARCH_LSTM
,5,0.0001437118844919,4.131986663417842e-05,0.1545580169232058,RTY,LSTM_Baseline,RTY_LSTM_Baseline
,11,0.0001580067353299,4.675708476731304e-05,0.1792844302226609,RTY,LSTM_Baseline,RTY_LSTM_Baseline
,22,0.000128887168521,3.994980249075606e-05,0.1747054263173842,RTY,LSTM_Baseline,RTY_LSTM_Baseline
single,5,6.821034726502812e-05,2.7163857332033115e-05,0.1266114427178634,NDX,Single_GARCH_LSTM,NDX_Single_GARCH_LSTM
single,11,8.095296801531985e-05,3.079542586870883e-05,0.1347636223710168,NDX,Single_GARCH_LSTM,NDX_Single_GARCH_LSTM
single,22,7.776136744528469e-05,2.967039342696748e-05,0.1326873346842766,NDX,Single_GARCH_LSTM,NDX_Single_GARCH_LSTM
