Date,x
2007-03-08,5.9734897822317035e-05
2007-03-09,5.942750745851e-05
2007-03-12,5.452689563825331e-05
2007-03-13,5.1974463937985835e-05
2007-03-14,6.623577683963891e-05
2007-03-15,6.480329864866119e-05
2007-03-16,6.189703728569574e-05
2007-03-19,5.961476949023767e-05
2007-03-20,6.249870331978568e-05
2007-03-21,6.122226359002123e-05
2007-03-22,7.084948650779156e-05
2007-03-23,6.527529634573732e-05
2007-03-26,6.0043877156122484e-05
2007-03-27,5.5454679340551404e-05
2007-03-28,5.57483120060971e-05
2007-03-29,5.734754225335207e-05
2007-03-30,5.511899863828169e-05
2007-04-02,5.214518586710586e-05
2007-04-03,4.9621978592323926e-05
2007-04-04,5.1731879910483956e-05
2007-04-05,4.8337137883595066e-05
2007-04-09,4.648113510912297e-05
2007-04-10,4.3432444734524964e-05
2007-04-11,4.160398922662218e-05
2007-04-12,4.328636511523161e-05
2007-04-13,4.3662022313560596e-05
2007-04-16,4.2239627706333296e-05
2007-04-17,4.569778294274258e-05
2007-04-18,4.3285893597685264e-05
2007-04-19,4.0470935951326205e-05
2007-04-20,3.864711985237164e-05
2007-04-23,4.174594304721271e-05
2007-04-24,4.087653044673223e-05
2007-04-25,3.8942267723518994e-05
2007-04-26,4.211129980709048e-05
2007-04-27,4.033348044135208e-05
2007-04-30,3.839702946880356e-05
2007-05-01,4.085368871359348e-05
2007-05-02,3.934906802073518e-05
2007-05-03,3.985839894711609e-05
2007-05-04,3.926442275342941e-05
2007-05-07,3.7738289057589486e-05
2007-05-08,3.648380479275197e-05
2007-05-09,3.552133867241649e-05
2007-05-10,3.4678199927166445e-05
2007-05-11,3.9634307972948894e-05
2007-05-14,4.096881907144956e-05
2007-05-15,3.5711008242863854e-05
2007-05-16,0.005013032060029523
2007-05-17,7.86476650578911e-68
2007-05-18,4.538629623704297e-21
2007-05-21,3.9625667215957385e-05
2007-05-22,0.007728239340275239
2007-05-23,1.8748148304039632e-21
2007-05-24,0.013334119546671337
2007-05-25,0.0003940899452478622
2007-05-29,3.756126610149249e-05
2007-05-30,3.6418175478024685e-05
2007-05-31,3.6958002310477636e-05
2007-06-01,3.608690861756051e-05
2007-06-04,0.000924741565183126
2007-06-05,3.474255715048958e-05
2007-06-06,3.506905907674979e-05
2007-06-07,3.6950889283430874e-05
2007-06-08,4.200478265709457e-05
2007-06-11,4.42092985467832e-05
2007-06-12,4.1728517808165036e-05
2007-06-13,4.425864387543074e-05
2007-06-14,5.026905057076173e-05
2007-06-15,4.8194094174525484e-05
2007-06-18,4.7348017253157156e-05
2007-06-19,4.630604346340786e-05
2007-06-20,4.362489004820009e-05
2007-06-21,4.868801871248026e-05
2007-06-22,4.760970965954265e-05
2007-06-25,5.2622620122605954e-05
2007-06-26,5.027305702996676e-05
2007-06-27,4.8347174787057837e-05
2007-06-28,4.895329193972113e-05
2007-06-29,4.589685266837255e-05
2007-07-02,4.3774751324006764e-05
2007-07-03,4.6492303980106665e-05
2007-07-05,4.454947820635879e-05
2007-07-06,4.203575837471486e-05
2007-07-09,4.069437790443421e-05
2007-07-10,3.8568715251200966e-05
2007-07-11,4.3146008528696714e-05
2007-07-12,4.252042193570353e-05
2007-07-13,4.985909360044726e-05
2007-07-16,4.70349142053353e-05
2007-07-17,4.5394428835284516e-05
