Date,x
2007-03-08,9.971461190692975e-05
2007-03-09,8.397105143119964e-05
2007-03-12,7.102651461071104e-05
2007-03-13,6.088796558859328e-05
2007-03-14,0.00011058964870954784
2007-03-15,9.479839812105057e-05
2007-03-16,8.09768903626504e-05
2007-03-19,7.96919317649875e-05
2007-03-20,7.07858522984704e-05
2007-03-21,6.249511249053077e-05
2007-03-22,5.824690890324964e-05
2007-03-23,5.268806974201245e-05
2007-03-26,4.6720278606186915e-05
2007-03-27,4.05233207778798e-05
2007-03-28,4.893948104075109e-05
2007-03-29,6.0723738740823764e-05
2007-03-30,5.352067192586565e-05
2007-04-02,5.0491662793174885e-05
2007-04-03,4.462100604957961e-05
2007-04-04,4.0197635333166314e-05
2007-04-05,3.574403960893333e-05
2007-04-09,3.193174144112722e-05
2007-04-10,2.841647384046432e-05
2007-04-11,2.555709390751981e-05
2007-04-12,3.671556878542567e-05
2007-04-13,3.2733114383889784e-05
2007-04-16,2.9360136187199766e-05
2007-04-17,2.725530971846451e-05
2007-04-18,2.4529947674582578e-05
2007-04-19,2.2512193881062362e-05
2007-04-20,2.4197769589582706e-05
2007-04-23,2.340275498417926e-05
2007-04-24,2.6200174737378497e-05
2007-04-25,2.5560539629559176e-05
2007-04-26,2.4396462758413825e-05
2007-04-27,2.4663985969424504e-05
2007-04-30,2.3884018548700336e-05
2007-05-01,3.6260824692508966e-05
2007-05-02,3.226401283505845e-05
2007-05-03,2.972598542004081e-05
2007-05-04,2.722788393133383e-05
2007-05-07,2.515477912580808e-05
2007-05-08,2.3163369399232074e-05
2007-05-09,2.395492395450098e-05
2007-05-10,2.2219580618226077e-05
2007-05-11,4.268356183064711e-05
2007-05-14,3.926830414354701e-05
2007-05-15,3.963119279555417e-05
2007-05-16,3.921356220610585e-05
2007-05-17,3.5962362216832536e-05
2007-05-18,3.499983888713149e-05
2007-05-21,3.30035639744938e-05
2007-05-22,3.050771483071394e-05
2007-05-23,2.9830025413631663e-05
2007-05-24,3.0206101137234802e-05
2007-05-25,4.310867237556551e-05
2007-05-29,3.9138806213713496e-05
2007-05-30,3.567645181741063e-05
2007-05-31,3.2599132271186446e-05
2007-06-01,3.1006643950748865e-05
2007-06-04,2.8357368508523694e-05
2007-06-05,2.5820835785785514e-05
2007-06-06,3.314266216678313e-05
2007-06-07,5.335693548490911e-05
2007-06-08,0.00012697185947733273
2007-06-11,9.640524479191198e-05
2007-06-12,7.067241094201265e-05
2007-06-13,0.00010157635002894893
2007-06-14,8.08571719767713e-05
2007-06-15,6.14172481105679e-05
2007-06-18,4.85493966954574e-05
2007-06-19,4.484835795949755e-05
2007-06-20,3.664590046590495e-05
2007-06-21,8.038840370401693e-05
2007-06-22,6.238133847552144e-05
2007-06-25,0.00010413257182844153
2007-06-26,9.418493912045781e-05
2007-06-27,8.642257453560809e-05
2007-06-28,6.779231667595124e-05
2007-06-29,5.702851894834332e-05
2007-07-02,5.188309042236626e-05
2007-07-03,4.344917293210426e-05
2007-07-05,3.654668226045529e-05
2007-07-06,3.1803932563950304e-05
2007-07-09,2.7382469891631207e-05
2007-07-10,2.4232315534359977e-05
2007-07-11,5.9469725945852005e-05
2007-07-12,4.96040630941469e-05
2007-07-13,4.3702549888851016e-05
2007-07-16,3.821198735585999e-05
2007-07-17,3.9251146853087776e-05
2007-07-18,3.6009421076320344e-05
2007-07-19,3.7734162714066635e-05
2007-07-20,3.240088183871309e-05
2007-07-23,6.196012568950744e-05
2007-07-24,5.128760510685161e-05
2007-07-25,7.800782227704135e-05
2007-07-26,6.904814950891929e-05
2007-07-27,0.00017688381007576647
2007-07-30,0.00024831141615002186
2007-07-31,0.00012591024005280765
2007-08-01,0.00014074361281314396
2007-08-02,0.0001222963642905554
2007-08-03,8.289198166969398e-05
2007-08-06,0.0002074022360556792
2007-08-07,0.00020184075416739572
2007-08-08,0.0001788869856793487
2007-08-09,0.0001649395572339458
2007-08-10,0.0002704531062749257
2007-08-13,0.00023163481685991596
2007-08-14,0.00021112843473433473
2007-08-15,0.00024103640303855332
2007-08-16,0.0002748033620462104
2007-08-17,0.00023611757113561606
2007-08-20,0.00022488223747345857
2007-08-21,0.00020578469972644511
2007-08-22,0.00018824409637309585
2007-08-23,0.00017684631115359153
2007-08-24,0.00016652128541112032
2007-08-27,0.00012139739595731418
2007-08-28,0.00012749086964584277
2007-08-29,0.00021614536402416964
2007-08-30,0.00020247839270732282
2007-08-31,0.00019838831474911812
2007-09-04,0.00018248328164285806
2007-09-05,0.00016824382308615243
2007-09-06,0.00018619960223178463
2007-09-07,0.00017135118711612338
2007-09-10,0.0002090287136853007
2007-09-11,0.00018960433117336242
2007-09-12,0.00017358877862549987
2007-09-13,0.0001561349290691576
2007-09-14,0.0001354187000190788
2007-09-17,0.00011170062901533218
2007-09-18,0.00010431511490416062
2007-09-19,0.00013970376829745525
2007-09-20,0.00012883848550034586
2007-09-21,0.00013308297972524011
2007-09-24,0.00011143035156186536
2007-09-25,0.00010308545482455449
2007-09-26,9.109349631694921e-05
2007-09-27,7.874621225959263e-05
2007-09-28,6.757301081493887e-05
2007-10-01,6.620904139460358e-05
2007-10-02,6.408003351545363e-05
2007-10-03,5.573297992684638e-05
2007-10-04,6.117898727914878e-05
2007-10-05,5.349411918376923e-05
