RTY_LSTM_True_test,RTY_LSTM_22_pred
0.0001452912523753,0.00014407863
0.0001453758114824,0.00014283469
0.00010749881106749999,0.00014158977
0.0001013940704732,0.00013322147
0.0001028374904323,0.00012482269
0.0001070254871075,0.000117970674
0.0001002772107391,0.00011317512
9.94523011204017e-05,0.00010846516
9.44917411255409e-05,0.00010472315
9.883894109644078e-05,0.00010115278
8.688657651955602e-05,9.907451e-05
8.199890793797079e-05,9.586713e-05
9.499074403132196e-05,9.2778646e-05
9.8225839351e-05,9.2110364e-05
9.823299213701548e-05,9.218994e-05
9.725880915430919e-05,9.23915e-05
9.634620713771452e-05,9.252406e-05
6.0496723068140246e-05,9.2584065e-05
6.552298610741919e-05,8.830949e-05
6.551302809300277e-05,8.544671e-05
6.167718170837162e-05,8.3207786e-05
6.050281327157387e-05,8.1071914e-05
6.217119452573046e-05,7.931546e-05
6.388513975835145e-05,7.811929e-05
5.926789361818049e-05,7.7365155e-05
5.923296028679495e-05,7.630626e-05
5.716853028953676e-05,7.547514e-05
5.220878750211998e-05,7.464748e-05
5.196719572640025e-05,7.358008e-05
5.3372973506427994e-05,7.27213e-05
6.036129954018368e-05,7.216795e-05
6.076897030494668e-05,7.235427e-05
6.290106664621429e-05,7.255828e-05
6.545369601752554e-05,7.2912764e-05
5.5506024388290006e-05,7.344562e-05
5.27643727911426e-05,7.301985e-05
6.258193589052543e-05,7.247901e-05
6.397566443020795e-05,7.293813e-05
9.90093163355092e-05,7.343912e-05
0.0001055392770171,7.770598e-05
0.0001003741906862,8.2110295e-05
0.0001216017605433,8.509488e-05
0.0001271028590015,9.1058595e-05
0.0001307827986059,9.715982e-05
0.0001362416432321,0.000103039194
0.0001652702918992,0.00010914637
0.0001652954758704,0.000120080746
0.0001871542167322,0.00012956417
0.0001929137201901,0.00014201232
0.0001933062679488,0.00015402393
0.0001967881193417,0.00016426799
0.0001947309057694,0.00017334516
0.0002190490648571,0.00017999847
0.0002200417360733,0.00019015717
0.0002204610058126,0.00019855313
0.00022692799324000002,0.00020503403
0.0002389850295977,0.00021109919
0.00023669056386149998,0.00021815997
0.0002343582338474,0.00022308237
0.00023399890379559998,0.00022602899
0.0002106996375175,0.00022767489
0.0002048203164699,0.00022320502
0.00021119882900830003,0.00021714786
0.000196375607849,0.00021282528
0.0002075278673792,0.00020587478
0.00020279156981229998,0.0002023306
0.0001955717855649,0.00019868262
0.0001646609240766,0.00019435893
0.0001671579957486,0.00018428105
0.0001456734652034,0.00017611604
0.0001412501492386,0.00016515495
0.0001401516282169,0.00015525242
0.0001368024730666,0.00014714448
0.0001495427679416,0.00014028209
0.00011766550939139998,0.00013758095
0.00011664048179339998,0.00013009812
0.0001170569261577,0.00012397941
0.0001078121651296,0.00011934905
0.00010949101100449999,0.00011434062
0.0001129714272313,0.000110807654
0.00010623634618599998,0.00010878585
0.0001055575926195,0.00010627788
9.30757546416048e-05,0.000104324856
0.000104009439127,0.000100879675
9.923548215595056e-05,9.992645e-05
9.427043847915232e-05,9.859133e-05
9.50543667169964e-05,9.685237e-05
9.492392194329864e-05,9.569323e-05
0.0001030977967852,9.482344e-05
0.0001034619110892,9.546431e-05
0.00010747562588580001,9.6105905e-05
0.00010461790799829998,9.738166e-05
0.00010740310719399999,9.8009885e-05
0.0001070366505316,9.901709e-05
0.00010686727469109999,9.983024e-05
9.429488627812886e-05,0.000100486526
9.240632706974836e-05,9.900969e-05
8.719511563637002e-05,9.7359574e-05
8.241057934080621e-05,9.522772e-05
8.318204763787686e-05,9.286435e-05
6.887991506707779e-05,9.1055204e-05
7.400687824323945e-05,8.795132e-05
7.33889894879345e-05,8.6070584e-05
6.970771895758067e-05,8.451105e-05
7.329399051732354e-05,8.289384e-05
6.173639761593881e-05,8.196833e-05
6.010769712238173e-05,8.0116464e-05
6.015068466721321e-05,7.850254e-05
4.293673101864588e-05,7.723411e-05
4.4451810826700085e-05,7.473226e-05
3.648909046408679e-05,7.2905445e-05
3.644761896418301e-05,7.080109e-05
3.06355917316727e-05,6.915183e-05
3.034365366191889e-05,6.73757e-05
2.727077176933211e-05,6.5958986e-05
2.8763060274976937e-05,6.459881e-05
2.8868490511548404e-05,6.366952e-05
4.416205929736389e-05,6.2959836e-05
4.291758350820337e-05,6.368764e-05
4.132232828629465e-05,6.416238e-05
4.35878387524226e-05,6.442204e-05
4.878553975035932e-05,6.4837215e-05
4.617341325982632e-05,6.563184e-05
3.931910106838851e-05,6.603133e-05
3.917427410635524e-05,6.5793385e-05
4.431038417499303e-05,6.5615335e-05
4.124246366231133e-05,6.592277e-05
4.121515327099989e-05,6.592141e-05
4.12340234313513e-05,6.5921435e-05
4.160563701277655e-05,6.593385e-05
4.269308591557165e-05,6.59867e-05
4.236217158477906e-05,6.610694e-05
4.247855071967515e-05,6.617992e-05
4.216137407338265e-05,6.623964e-05
4.147658239554236e-05,6.625867e-05
4.134267182567228e-05,6.620198e-05
4.00639115086102e-05,6.613774e-05
3.855193441266168e-05,6.596461e-05
