SPX_ST_True_test,SPX_ST_11_pred
0.0001303206419784,0.00012844353
0.0001188708763034,0.00012180234
8.707564543818081e-05,0.00011458731
8.598842734477807e-05,0.00010318735
7.473298217276113e-05,9.346684e-05
6.696731847597752e-05,8.367202e-05
6.670031795255749e-05,7.477658e-05
6.29569020453762e-05,6.9794274e-05
6.671615513967798e-05,6.382937e-05
4.208997749371843e-05,6.365205e-05
3.529021268145473e-05,5.567161e-05
3.73480270137905e-05,4.8863538e-05
3.461704748268069e-05,4.5304274e-05
3.294374874750023e-05,4.0806794e-05
4.669886363275383e-05,4.3096443e-05
4.777450151875485e-05,5.5231827e-05
5.135390350104957e-05,5.1896914e-05
4.6674866562452506e-05,5.3219264e-05
5.6028099464593374e-05,5.1206487e-05
6.043883996129246e-05,6.263529e-05
6.268022802900462e-05,6.0569648e-05
6.692821695124268e-05,5.8396257e-05
6.691263678658223e-05,5.999547e-05
7.135874065046017e-05,5.890355e-05
7.009768235275342e-05,6.033593e-05
7.047307082548717e-05,5.991585e-05
7.096799064381633e-05,5.8859536e-05
7.302876554627991e-05,5.9626607e-05
7.181349661277072e-05,5.99375e-05
7.20744535148231e-05,6.0379516e-05
6.836048070435951e-05,5.9400856e-05
6.819113957691574e-05,5.781841e-05
6.84490814882227e-05,5.6796034e-05
6.653938123182825e-05,5.620636e-05
6.614926818222987e-05,5.516152e-05
5.988269945640776e-05,5.4107913e-05
4.81791745354777e-05,5.2734133e-05
4.5422562430509344e-05,5.0015627e-05
3.7062978386048006e-05,4.598006e-05
3.645276687451669e-05,4.1903535e-05
2.708526082416709e-05,3.860777e-05
2.256429434034696e-05,3.5217392e-05
2.112456614146554e-05,3.241221e-05
1.527586239098702e-05,3.0579424e-05
1.531807859937453e-05,2.8636709e-05
1.0716541667903087e-05,2.7241153e-05
1.204380434361528e-05,2.6023346e-05
1.174940142716932e-05,2.5779207e-05
1.1459559403752068e-05,2.5094158e-05
1.0592463994397174e-05,2.4671534e-05
1.0453730157910114e-05,2.4794093e-05
1.0150898997745495e-05,2.4587715e-05
1.153243929999473e-05,2.4211246e-05
1.0986778936731872e-05,2.4550567e-05
1.029309674611806e-05,2.4217154e-05
1.1517232334342432e-05,2.4061383e-05
1.553950988638345e-05,2.4529378e-05
1.716277271882098e-05,2.7224307e-05
1.6452947369307742e-05,2.9147974e-05
1.6431495814484873e-05,2.8078652e-05
1.8959757379846857e-05,2.6844762e-05
1.961239200503863e-05,2.7247166e-05
1.975624048153093e-05,2.7446027e-05
1.9975232707009947e-05,2.7030064e-05
2.162689676254089e-05,2.6473912e-05
2.1673461595098903e-05,2.6942596e-05
2.30909629214398e-05,2.6587237e-05
2.3120779357242552e-05,2.685706e-05
2.1729172973969026e-05,2.6617883e-05
2.212816737462637e-05,2.6472735e-05
2.2375544480018663e-05,2.6398779e-05
2.1138921710489945e-05,2.6399272e-05
2.0844336697385287e-05,2.6176318e-05
2.131080155796285e-05,2.6088019e-05
1.995781376550105e-05,2.6188629e-05
2.2145233974102976e-05,2.5984536e-05
2.2018027463213237e-05,2.7084294e-05
2.2647616595182937e-05,2.6708174e-05
2.1941105657594136e-05,2.7085318e-05
1.9474930343234397e-05,2.924208e-05
1.8991680378804225e-05,2.7877773e-05
1.934968184631213e-05,2.7794023e-05
1.7453803252994833e-05,2.7096026e-05
1.7717029256100387e-05,2.6739504e-05
1.8596296192029097e-05,2.6817459e-05
1.8939800052030125e-05,2.6605876e-05
1.6483340094894417e-05,2.6517195e-05
1.8213091384718196e-05,2.5895311e-05
1.689831852149714e-05,2.6128419e-05
1.7746619538761566e-05,2.570545e-05
1.7757996926797885e-05,2.5898427e-05
1.729023133751533e-05,2.5640393e-05
2.13928696161444e-05,2.533952e-05
3.3192695373795685e-05,2.8442018e-05
3.692653366374e-05,4.3037886e-05
3.652467813097798e-05,3.9625556e-05
3.6713595985924e-05,3.6527454e-05
4.91202330390566e-05,3.4094668e-05
5.117655479305191e-05,5.429293e-05
5.846487493859521e-05,4.881881e-05
5.9301809363570976e-05,5.1969193e-05
5.939367740512651e-05,5.187725e-05
6.0458336653492894e-05,4.9033544e-05
6.166335045568511e-05,5.0919647e-05
6.062562573770698e-05,5.0215735e-05
6.0705546843621555e-05,4.854359e-05
6.003775551492635e-05,4.8376576e-05
5.948724729025624e-05,4.816884e-05
6.022418470779977e-05,4.736635e-05
5.90854785070961e-05,4.798239e-05
5.980221563366239e-05,4.732876e-05
6.421080032448489e-05,4.8205384e-05
0.0001128775008048,5.613812e-05
0.0001484180874599,0.00018243103
0.0001438342666443,0.00028891372
0.0002095225018697,0.000213663
0.00020620072156459998,0.00048047534
0.0003092313635631,0.00035908358
0.000336126162601,0.0004325863
0.0004044035848209,0.0004831915
0.0004465786962847,0.0005123665
0.000444341179066,0.00061511184
0.0006639135371474,0.00055753946
0.0008012109246593999,0.0014637689
0.0008766932394358,0.0011962837
0.0012133087384693,0.0014047985
0.0016546035967985,0.002833497
0.0022219947334575,0.002599197
0.0024528796229476,0.0028995064
0.0025171984101067,0.0028995064
0.00253455580129,0.0028995064
0.0025666688321436,0.0025172918
0.002571353159232,0.0025518253
0.0030556769986171003,0.0024084975
0.0030320114159467005,0.002695417
0.0032092935374774,0.0023844512
0.0032376278429539,0.002482039
0.0032281341783237,0.0025124322
0.0032321611588663,0.0024304846
0.0031846437946632,0.002385396
0.0031995353065766,0.002538402
0.0031177143537889002,0.0024148035
0.0033204529089161,0.0023547942
0.0033139136887444,0.002539179
0.0031407772656383,0.0024375694
0.0030147477793226,0.0023860883
0.0029422460539891004,0.002282075
0.0026299236834509,0.002202913
0.0022136613560158,0.0021067304
0.0016452847503401,0.001966007
0.0014333744577809,0.0017031158
0.0013985077891032,0.0015045711
0.0014424472088887,0.0013623377
0.001418397920864,0.0013350238
0.0014180314753677,0.0012233207
0.0009306986184649002,0.0011361964
0.0009083223867335,0.0009943256
0.000699267093357,0.0008938653
0.0006883650742722,0.0007806435
0.0006291871285594,0.00071357907
0.0006728728041613,0.0006395022
0.0006174864551417,0.0006645553
0.0005758876018249,0.00059085264
0.0005826775097536,0.00053782767
0.0003383691464286,0.00051314913
0.0003447370001598,0.00043891094
0.0002942638958465,0.0003924525
0.0003049189262051,0.00033913882
0.0003155874476329,0.000345147
0.0002955543965137,0.00034919145
0.0002708214524972,0.00030993047
0.0003078408082796,0.00027586863
0.0002943115961097,0.0003031761
0.0002739927556831,0.000292768
0.00021765420373079998,0.0002765722
0.00020895039347889997,0.00025366238
0.0002075667986048,0.00022500791
0.0002114176616989,0.00020984607
0.0002095810181559,0.0002031112
0.00020598542137730002,0.00019191027
0.00018866107815070004,0.0001818438
0.0001812528894769,0.00017151482
0.0001367184187295,0.00016447253
0.0001390625720526,0.00015401003
0.0001586095474088,0.00014219452
0.000152519266596,0.00016467454
0.0001570368685416,0.00015475794
0.0001539717479055,0.00015178663
0.0003275364571412,0.00014646287
0.0003103036045019,0.00057418685
0.000295539940795,0.00042622915
0.0002994221954689,0.00034316359
0.0003016035016881,0.0003185005
0.0002646381573644,0.0002921596
0.00026197130002,0.00026243896
0.0002536624757946,0.0002514331
0.0002480772162745,0.00023533645
0.0002827813656104,0.00022218857
0.0002830837480579,0.0002831673
0.0003033746676762,0.00026628718
0.0003116804787424,0.00032059988
0.0003210053056579,0.00030023337
0.0003215997785014,0.0002925213
0.0003208230767089,0.00027837115
0.0003272071179179,0.00026947501
0.0003305173322779,0.00027497904
0.000313505544474,0.0002839176
0.0003126729155965,0.00027375418
0.0003105693626491,0.00027090675
0.0003103303243358,0.00026604268
0.0001413963394855,0.000270386
0.0001383686040844,0.00023310966
0.0001388707431558,0.00019992079
0.0001292172760688,0.000175661
0.0001285819293793,0.00015218646
0.0001284361096723,0.00013755083
0.000125762238145,0.00012469548
0.0001339394337206,0.000116223266
0.000136329235844,0.0001261076
