Date,Close,LR,RV_22
2006-01-04,95.735,0.0,
2006-01-05,95.735,0.0,
2006-01-06,95.735,0.0,
2006-01-09,95.735,0.0,
2006-01-10,95.735,0.0,
2006-01-11,95.735,0.0,
2006-01-12,95.735,0.0,
2006-01-13,95.735,0.0,
2006-01-17,95.735,0.0,
2006-01-18,95.735,0.0,
2006-01-19,95.73,-5.2228866906034455e-05,
2006-01-20,95.73,0.0,
2006-01-23,95.73,0.0,
2006-01-24,95.73,0.0,
2006-01-25,95.73,0.0,
2006-01-26,95.72,-0.00010446591808932482,
2006-01-27,95.72,0.0,
2006-01-30,95.72,0.0,
2006-01-31,95.72,0.0,
2006-02-01,95.5,-0.0023010155534883836,
2006-02-02,95.5,0.0,
2006-02-03,95.5,0.0,2.3970250695147576e-07
2006-02-06,95.5,0.0,2.3970250695147576e-07
2006-02-07,95.5,0.0,2.3970250695147576e-07
2006-02-08,95.5,0.0,2.3970250695147576e-07
2006-02-09,95.5,0.0,2.3970250695147576e-07
2006-02-10,95.5,0.0,2.3970250695147576e-07
2006-02-13,95.5,0.0,2.3970250695147576e-07
2006-02-14,95.5,0.0,2.3970250695147576e-07
2006-02-15,95.5,0.0,2.3970250695147576e-07
2006-02-16,95.5,0.0,2.3970250695147576e-07
2006-02-17,95.5,0.0,2.3970250695147576e-07
2006-02-21,95.5,0.0,2.4012239049680885e-07
2006-02-22,95.5,0.0,2.4012239049680885e-07
2006-02-23,95.5,0.0,2.4012239049680885e-07
2006-02-24,95.505,5.2354650414088155e-05,2.4079216859391627e-07
2006-02-27,95.505,0.0,2.4079216859391627e-07
2006-02-28,95.505,0.0,2.4131303691109223e-07
2006-03-01,95.45,-0.0005760519653419394,2.507889289826366e-07
2006-03-02,95.45,0.0,2.507889289826366e-07
2006-03-03,95.45,0.0,2.507889289826366e-07
2006-03-06,95.445,-5.2384818891582086e-05,1.5344572239989473e-08
2006-03-07,95.445,0.0,1.5344572239989473e-08
2006-03-08,95.445,0.0,1.5344572239989473e-08
2006-03-09,95.44,-5.23875632048032e-05,1.533867291954799e-08
2006-03-10,95.44,0.0,1.533867291954799e-08
2006-03-13,95.435,-5.2390307804905945e-05,1.532089843825673e-08
2006-03-14,95.435,0.0,1.532089843825673e-08
2006-03-15,95.435,0.0,1.532089843825673e-08
2006-03-16,95.435,0.0,1.532089843825673e-08
2006-03-17,95.435,0.0,1.532089843825673e-08
2006-03-20,95.425,-0.00010478885056208753,1.5511161842250468e-08
2006-03-21,95.42,-5.2398543332721204e-05,1.5457750679965127e-08
2006-03-22,95.42,0.0,1.5457750679965127e-08
2006-03-23,95.42,0.0,1.5457750679965127e-08
2006-03-24,95.42,0.0,1.5457750679965127e-08
2006-03-27,95.415,-5.2401289083015e-05,1.5392456890002336e-08
2006-03-28,95.415,0.0,1.5054185296532196e-08
2006-03-29,95.415,0.0,1.5054185296532196e-08
2006-03-30,95.415,0.0,1.5054185296532196e-08
