Regime,Asset,Calibration_Factor,VaR_1pct_Rate,VaR_5pct_Rate,Observations,Total_Forecasts
0,SPX Index,0.0498,2.28%,6.85%,394,394
0,RTY Index,0.0700,1.59%,3.70%,378,378
0,NDX Index,0.0604,1.52%,6.60%,394,394
2,SPX Index,0.0498,0.00%,2.94%,68,68
2,RTY Index,0.0700,0.00%,5.88%,51,51
2,NDX Index,0.0604,0.00%,1.47%,68,68
3,SPX Index,0.0498,1.49%,1.49%,67,68
3,RTY Index,0.0700,2.00%,2.00%,50,51
3,NDX Index,0.0604,1.49%,1.49%,67,68
4,SPX Index,0.0498,5.13%,12.82%,78,78
4,RTY Index,0.0700,0.00%,8.20%,61,61
4,NDX Index,0.0604,3.85%,12.82%,78,78
