regime,asset,window,methodology,confidence_level,var_type,regime_historical_count,violation_rate,expected_rate,violations_count,total_observations,uc_statistic,uc_pvalue,cc_statistic,cc_pvalue,violation_severity,var_mean,var_std
0,NDX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,1580,0.0,0.01,0,394,-7.919664652559143,1.0,,,0.0,-0.0628092327848494,0.012873593321792389
0,NDX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,1580,0.0025380710659898475,0.05,1,394,32.357832338190256,1.2823927475480446e-08,,,-0.0004513560639411787,-0.04,0.00874431351441004
0,RTY Index,22,regime_specific_fhs_corrected,0.01,VaR_1,1582,0.0,0.01,0,378,-7.598053905247097,1.0,,,0.0,-0.061256657356588494,0.008718240345651794
0,RTY Index,22,regime_specific_fhs_corrected,0.05,VaR_5,1582,0.0026455026455026454,0.05,1,378,30.799467962712917,2.8611629510066905e-08,,,-0.000946606068377917,-0.04,0.00718532979676003
0,SPX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,1580,0.0,0.01,0,394,-7.919664652559143,1.0,,,0.0,-0.06515951662529554,0.01452486167701468
0,SPX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,1580,0.0,0.05,0,394,-40.41911597738986,1.0,,,0.0,-0.04,0.010955672026654345
2,NDX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,493,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0.0,-0.06205848544459235,0.0005013987619013656
2,NDX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,493,0.0,0.05,0,68,-6.975888036706879,1.0,,,0.0,-0.04000000000000001,0.001614999278629552
2,RTY Index,22,regime_specific_fhs_corrected,0.01,VaR_1,493,0.0,0.01,0,51,-1.025134257057148,1.0,,,0.0,-0.05735605694190593,0.000613045375259581
2,RTY Index,22,regime_specific_fhs_corrected,0.05,VaR_5,493,0.0,0.05,0,51,-5.231916027530159,1.0,,,0.0,-0.04000000000000001,0.001459504287032862
2,SPX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,493,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0.0,-0.07048905478162874,0.0013087789908043184
2,SPX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,493,0.0,0.05,0,68,-6.975888036706879,1.0,,,0.0,-0.039999999999999994,0.0005778323370059924
3,NDX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,494,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0.0,-0.0667044933309713,0.003912639960738799
3,NDX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,494,0.0,0.05,0,68,-6.975888036706879,1.0,,,0.0,-0.04000000000000001,0.002704153717894663
3,RTY Index,22,regime_specific_fhs_corrected,0.01,VaR_1,494,0.0,0.01,0,51,-1.025134257057148,1.0,,,0.0,-0.06292995371192632,0.005243065054364285
3,RTY Index,22,regime_specific_fhs_corrected,0.05,VaR_5,494,0.0196078431372549,0.05,1,51,1.2768799907964115,0.2584799551771163,,,-0.00813690101626273,-0.04,0.0028711732851342464
3,SPX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,494,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0.0,-0.05680862277619061,0.004977622708881763
3,SPX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,494,0.0,0.05,0,68,-6.975888036706879,1.0,,,0.0,-0.04,0.00283258816890195
4,NDX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,526,0.0,0.01,0,78,-1.5678523931462263,1.0,,,0.0,-0.05040518504116197,0.005039800677558409
4,NDX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,526,0.038461538461538464,0.05,3,78,0.2367015983354488,0.6265986103425917,,,-0.00616880866099561,-0.040000000000000015,0.003069317685090002
4,RTY Index,22,regime_specific_fhs_corrected,0.01,VaR_1,526,0.0,0.01,0,61,-1.226140974127177,1.0,,,0.0,-0.057957770080938914,0.0019351223709326221
4,RTY Index,22,regime_specific_fhs_corrected,0.05,VaR_5,526,0.03278688524590164,0.05,2,61,0.4309335059176318,0.5115312463035062,4.728470913543589,0.029667248964943105,-0.0005885894175310935,-0.040000000000000015,0.0025556669930555647
4,SPX Index,5,regime_specific_fhs_corrected,0.01,VaR_1,526,0.0,0.01,0,78,-1.5678523931462263,1.0,,,0.0,-0.057512309829674,0.005235163827546259
4,SPX Index,5,regime_specific_fhs_corrected,0.05,VaR_5,526,0.0,0.05,0,78,-8.00175392445789,1.0,,,0.0,-0.040000000000000015,0.005093362339853604
