regime,asset,window,model,confidence_level,var_type,violation_rate,expected_rate,violations_count,total_observations,uc_statistic,uc_pvalue,cc_statistic,cc_pvalue,violation_severity,var_mean,var_std
0,NDX Index,5,Regime_0_NDX_Index_win5,0.01,VaR_1,0.0,0.01,0,394,-7.919664652559143,1.0,,,0,-2.0334339778483126,0.4106529870913174
0,NDX Index,5,Regime_0_NDX_Index_win5,0.05,VaR_5,0.0,0.05,0,394,-40.41911597738986,1.0,,,0,-1.3994360601288272,0.2564548967780586
0,RTY Index,22,Regime_0_RTY_Index_win22,0.01,VaR_1,0.0,0.01,0,378,-7.598053905247097,1.0,,,0,-1.9316349311629646,0.28725565747300447
0,RTY Index,22,Regime_0_RTY_Index_win22,0.05,VaR_5,0.0,0.05,0,378,-38.77773055698824,1.0,,,0,-1.2970402500564926,0.2484997831814309
0,SPX Index,5,Regime_0_SPX_Index_win5,0.01,VaR_1,0.0,0.01,0,394,-7.919664652559143,1.0,,,0,-1.7171720461736026,0.3883664164771073
0,SPX Index,5,Regime_0_SPX_Index_win5,0.05,VaR_5,0.0,0.05,0,394,-40.41911597738986,1.0,,,0,-1.2560953391785683,0.2504882709277468
2,NDX Index,5,Regime_2_NDX_Index_win5,0.01,VaR_1,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0,-3.0144829406209617,0.030585210827922055
2,NDX Index,5,Regime_2_NDX_Index_win5,0.05,VaR_5,0.0,0.05,0,68,-6.975888036706879,1.0,,,0,-1.8553110648272289,0.04598959109951759
2,RTY Index,22,Regime_2_RTY_Index_win22,0.01,VaR_1,0.0,0.01,0,51,-1.025134257057148,1.0,,,0,-2.6736853729094676,0.13642988835535383
2,RTY Index,22,Regime_2_RTY_Index_win22,0.05,VaR_5,0.0,0.05,0,51,-5.231916027530159,1.0,,,0,-1.5573193032106702,0.052855687241523105
2,SPX Index,5,Regime_2_SPX_Index_win5,0.01,VaR_1,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0,-2.5288031592619653,0.07269240445174074
2,SPX Index,5,Regime_2_SPX_Index_win5,0.05,VaR_5,0.0,0.05,0,68,-6.975888036706879,1.0,,,0,-1.6682403446691425,0.05059519820901585
3,NDX Index,5,Regime_3_NDX_Index_win5,0.01,VaR_1,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0,-2.4081575770604506,0.12234004177519431
3,NDX Index,5,Regime_3_NDX_Index_win5,0.05,VaR_5,0.0,0.05,0,68,-6.975888036706879,1.0,,,0,-1.4832599013163228,0.10008455259659106
3,RTY Index,22,Regime_3_RTY_Index_win22,0.01,VaR_1,0.0,0.01,0,51,-1.025134257057148,1.0,,,0,-2.423575797997014,0.20682970648704843
3,RTY Index,22,Regime_3_RTY_Index_win22,0.05,VaR_5,0.0,0.05,0,51,-5.231916027530159,1.0,,,0,-1.4121231669411833,0.11543851877397125
3,SPX Index,5,Regime_3_SPX_Index_win5,0.01,VaR_1,0.0,0.01,0,68,-1.3668456760761973,1.0,,,0,-1.949745694235842,0.13022642408463633
3,SPX Index,5,Regime_3_SPX_Index_win5,0.05,VaR_5,0.0,0.05,0,68,-6.975888036706879,1.0,,,0,-1.2861574809221923,0.08445299941364778
4,SPX Index,5,Regime_4_SPX_Index_win5,0.01,VaR_1,0.0,0.01,0,78,-1.5678523931462263,1.0,,,0,-2.3492313846907242,0.2406114717738404
4,SPX Index,5,Regime_4_SPX_Index_win5,0.05,VaR_5,0.0,0.05,0,78,-8.00175392445789,1.0,,,0,-1.5581662090143191,0.12846886790531897
