regime,asset,window,rmse,mae,mape,n_runs,test_size
0,SPX Index,5,0.08021888001586233,0.050963408837467,0.07650325301648325,25,394
0,SPX Index,11,0.08522631903669076,0.0556270348085451,0.08345153640228345,25,388
0,SPX Index,22,0.0866242271003484,0.05750316796810841,0.08614864005611975,25,377
0,RTY Index,5,0.1101510674859057,0.06948752644747988,0.08963002683360527,25,395
0,RTY Index,11,0.11352062371519415,0.07100644332881177,0.08878846215164155,25,389
0,RTY Index,22,0.11475089643406168,0.07260101073853543,0.08972515286026321,25,378
0,NDX Index,5,0.10900426025949747,0.0678488979970731,0.07273684279303756,25,394
0,NDX Index,11,0.11328599159744036,0.07240768086318156,0.07769178452418364,25,388
0,NDX Index,22,0.11484641325792048,0.0742262888020025,0.07911710632224052,25,377
2,SPX Index,5,0.12799824619561792,0.12075158240813574,0.15439892922454201,25,68
2,SPX Index,11,0.15652912902431707,0.15082675433811601,0.19409970493153542,25,62
2,SPX Index,22,0.18546959359392218,0.18134571980276903,0.236191427771165,25,51
2,RTY Index,5,0.11521317994800578,0.09897395306998696,0.10241476791016942,25,68
2,RTY Index,11,0.1319210549494094,0.11293169252915186,0.11746982913578144,25,62
2,RTY Index,22,0.12132538153994998,0.09948938895034871,0.10434314309480412,25,51
2,NDX Index,5,0.19551534187440386,0.16300599225304535,0.16312297666989675,25,68
2,NDX Index,11,0.20989286493173911,0.1815173882002094,0.1819781385298408,25,62
2,NDX Index,22,0.22142974994722686,0.19269217745006834,0.19609832217449433,25,51
3,SPX Index,5,0.06177982015570632,0.04524555001431333,0.09922988283031177,25,68
3,SPX Index,11,0.06289617270679146,0.05062587706082715,0.10594080470060092,25,62
3,SPX Index,22,0.05840571364290925,0.04410993402322423,0.09158646819958206,25,51
3,RTY Index,5,0.14452272297158517,0.1295381265953467,0.15472427610970324,25,68
3,RTY Index,11,0.12718592778827129,0.10611690678594865,0.11844814950483248,25,62
3,RTY Index,22,0.12932651687798188,0.09542587355804359,0.09870305863264517,25,51
3,NDX Index,5,0.054694263342760924,0.04043550848369623,0.05640940677805421,25,68
3,NDX Index,11,0.07174131934608909,0.056312212851981014,0.08000151058150214,25,62
3,NDX Index,22,0.06432546014005855,0.05129971396155431,0.07136408829683956,25,51
4,SPX Index,5,0.1426431454817066,0.12206394149364339,0.12540850173719176,25,78
4,SPX Index,11,0.13502340468914759,0.1151532752030316,0.11860944473923148,25,72
4,SPX Index,22,0.14890101669098224,0.1287443909717255,0.130917606010487,25,61
4,RTY Index,5,0.22531134098950018,0.2066043806877824,0.16103697216003274,25,78
4,RTY Index,11,0.19371676840805754,0.17225131698897628,0.13267447347380645,25,72
4,RTY Index,22,0.19552849438145778,0.17173581635350338,0.13216084020949714,25,61
4,NDX Index,5,0.20625409015221022,0.18584054762715532,0.13315865694913748,25,78
4,NDX Index,11,0.2561323793623099,0.23379975317210328,0.16410582206779703,25,72
4,NDX Index,22,0.241257069083279,0.21882461257001914,0.14875369369226485,25,61
