regime,asset,window,rmse,mae,mape,n_runs,test_size,model_file,pred_file
0,SPX Index,5,0.07902222563715212,0.05026028467357302,0.07546910402904022,25,394,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_0_SPX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_0_SPX_Index_window_5_predictions.csv
0,RTY Index,22,0.11183458680275846,0.0698397367615975,0.08738537529611695,25,378,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_0_RTY_Index_window_22.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_0_RTY_Index_window_22_predictions.csv
0,NDX Index,5,0.11012948581438795,0.06899451235589564,0.07402679144157395,25,394,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_0_NDX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_0_NDX_Index_window_5_predictions.csv
2,SPX Index,5,0.139166751374312,0.1323060707725237,0.1688938852515658,25,68,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_2_SPX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_2_SPX_Index_window_5_predictions.csv
2,RTY Index,22,0.13191731178393343,0.10888928439052527,0.11422895951075787,25,51,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_2_RTY_Index_window_22.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_2_RTY_Index_window_22_predictions.csv
2,NDX Index,5,0.1963960109059197,0.16386470234570208,0.16396008240778148,25,68,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_2_NDX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_2_NDX_Index_window_5_predictions.csv
3,SPX Index,5,0.05497748000982207,0.04049065626935488,0.08689047081330904,25,68,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_3_SPX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_3_SPX_Index_window_5_predictions.csv
3,RTY Index,22,0.12541245664820647,0.09504212986893215,0.10070000978556115,25,51,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_3_RTY_Index_window_22.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_3_RTY_Index_window_22_predictions.csv
3,NDX Index,5,0.05684768939079159,0.041814475700250466,0.05885247081783036,25,68,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_3_NDX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_3_NDX_Index_window_5_predictions.csv
4,SPX Index,5,0.14261873136039935,0.12104765479038693,0.12381139081546036,25,78,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_4_SPX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_4_SPX_Index_window_5_predictions.csv
4,RTY Index,22,0.15629790196408053,0.13685050147745303,0.10578828524473453,25,61,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_4_RTY_Index_window_22.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_4_RTY_Index_window_22_predictions.csv
4,NDX Index,5,0.21109779124899372,0.18972339516245987,0.1355570132904601,25,78,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/models/regime_4_NDX_Index_window_5.h5,/Users/user/Desktop/Imperial/Diss/RegimeSwitching/regime_switching_models/regime_detection/saved_models/predictions/regime_4_NDX_Index_window_5_predictions.csv
